,SCMP China,France,Germany,UK,US
46,140.36797,50.24769569,91.13113631,84.58302538,166.1840324
47,112.6115917,42.71172951,91.88847359,64.91440441,149.4485002
48,97.32544793,35.25222456,109.3314171,60.04069218,142.6141247
49,65.15024381,40.80909028,134.3682047,61.49485863,128.6256554
50,114.6284605,53.7391199,180.830436,88.12577803,137.374157
51,107.1835985,48.07552109,92.08272095,100.3078774,148.7580034
52,95.76116749,50.06756408,73.97757803,67.84626863,117.4362555
53,54.47955103,40.91661173,69.78983009,68.24093599,93.46123235
54,118.1754055,74.3938395,106.6774061,84.65528535,120.2945915
55,131.4792331,39.03704822,88.27506959,81.41273331,95.39996953
56,202.8777077,133.8002462,248.3052363,156.5577838,272.7644686
57,297.2353329,142.7162146,276.7237072,123.404084,247.2942498
58,128.783501,77.61001761,177.7516933,127.8852884,172.4888281
59,136.8472062,53.65440004,108.1198103,76.56446256,149.7089302
60,159.8944316,82.98913296,95.47948159,56.767966,148.4497315
61,163.7011476,56.49703403,86.47942414,67.61251616,104.6094257
62,140.2053457,96.0106765,73.08976468,60.03963689,97.51299569
63,117.4854851,100.0608448,106.9627924,67.45937772,106.1646488
64,33.76058898,102.2084634,80.44455211,57.54758323,98.64004001
65,116.7775043,113.7811154,120.4353803,84.5200891,111.149948
66,88.06827165,129.7766044,124.3302564,77.9905064,139.6611169
67,140.5309719,132.4804882,107.2274096,81.16082766,136.1190662
68,188.8886672,192.1746565,115.5399474,114.3385062,149.8482072
69,147.9945316,160.0290781,96.34648902,114.0102132,128.9736134
70,109.7590955,143.5795752,103.2367901,167.0677954,162.2214062
71,85.20969449,108.7242738,128.2414533,166.5131349,160.4113151
72,141.7656596,196.7913956,84.1283235,194.328328,185.5916265
73,88.59653577,210.7056863,230.909568,220.1610824,161.7597672
74,184.7860173,227.4442441,230.063009,273.1854288,224.6472035
75,124.3101944,163.9882934,155.8158241,226.8206518,176.5798669
76,102.0359126,112.2447755,120.4396931,124.135712,122.3098305
77,87.32002805,110.5131881,78.66607556,125.2898282,110.6955419
78,92.37224852,90.50466993,59.33775041,73.56978874,103.7482471
79,89.33422255,30.62036753,59.89029266,90.7435747,91.71417654
80,127.821267,95.08572424,89.45635686,58.7257282,109.55396
81,106.5136359,80.04882988,87.12670456,73.45626964,78.58598676
82,37.15930599,78.83217927,106.2877881,75.54927947,78.69609964
83,97.1357297,75.70652768,61.57172266,80.86126017,90.34358991
84,101.158403,76.26369945,59.47798619,65.19388709,88.27759573
85,46.90383033,51.8210771,83.92587114,68.73472375,88.90148508
86,85.35299326,156.4485588,117.3388102,77.10776684,84.3308961
87,43.16582583,169.8411116,104.8796042,78.17435824,79.7269195
88,137.9872048,170.883036,126.7874702,87.14657504,97.20803838
89,59.12108566,128.3917589,104.7889538,69.11718382,85.2744896
90,50.48695982,99.18595922,57.15773499,80.45660215,88.95650112
91,88.03998116,99.52498682,60.64183773,80.71108543,84.44987825
92,92.03104814,143.2897564,65.45806272,78.46118457,108.5095799
93,107.5005279,122.1546749,115.9843687,94.68281079,118.3414529
94,93.99049859,195.9334152,68.12167174,128.9797568,96.69576749
95,96.87821186,110.0841253,54.96220545,76.1602223,66.53287701
96,75.73043972,65.62034219,48.3798374,49.03665476,66.73432811
97,32.59744614,90.66367573,53.1624311,57.14406705,51.69568735
98,99.00125034,107.5706216,40.66995724,74.8757152,49.30863987
