"Kuwait","Saudi.Arabia","Iraq"
1.27064922670995e-16,1.27064922670995e-16,0.557236519984581
4.90120992048045e-16,4.90120992048045e-16,0.576034488099893
4.46052342503202e-16,4.46052342503202e-16,0.587279161068849
-5.89858204135254e-17,-5.89858204135254e-17,0.590970538891447
-7.66176243888617e-16,-7.66176243888617e-16,0.587108621567688
-3.50054695749364e-16,-3.50054695749364e-16,0.575693409097574
6.91021993281531e-16,6.91021993281531e-16,0.556724901481104
-6.96172490785982e-16,-6.96172490785982e-16,0.539753675979715
1.43878601818484e-15,1.43878601818484e-15,0.524779732593414
-6.70697575814975e-16,-6.70697575814975e-16,0.51180307132219
-5.49928075764469e-16,-5.49928075764469e-16,0.500823692166053
-2.42959488143403e-16,-2.42959488143403e-16,0.491841595124999
-1.86969869369531e-16,-1.86969869369531e-16,0.484856780199028
1.06597281118207e-16,1.06597281118207e-16,0.479869247388141
2.09067168926375e-16,2.09067168926375e-16,0.476878996692337
7.44073524071271e-17,7.44073524071271e-17,0.475886028111616
2.1401626928469e-16,2.1401626928469e-16,0.476890341645978
-2.81804581974247e-16,-2.81804581974247e-16,0.479891937295424
1.40828914444547e-17,1.40828914444547e-17,0.484890815059954
1.94496946413488e-16,1.94496946413488e-16,0.48937005746372
-3.24201909875765e-16,-3.24201909875765e-16,0.493329664506722
-3.9705593150032e-16,-3.9705593150032e-16,0.49676963618896
-1.02610971610328e-15,-1.02610971610328e-15,0.499689972510434
-8.69223974858398e-16,-8.69223974858398e-16,0.502090673471146
4.17249780663185e-16,4.17249780663185e-16,0.503971739071095
4.28159332940286e-16,4.28159332940286e-16,0.50533316931028
6.26542872325012e-17,6.26542872325012e-17,0.5061749641887
-2.3116269352528e-16,-2.3116269352528e-16,0.506497123706357
4.38405425310658e-16,4.38405425310658e-16,0.506299647863251
-6.64703112330877e-16,-6.64703112330877e-16,0.50558253665938
-2.13939324293029e-17,-2.13939324293029e-17,0.504345790094747
-3.00763744472577e-16,-3.00763744472577e-16,0.503212105740354
-9.53001848232515e-17,-9.53001848232515e-17,0.502181483596202
1.01434481687245e-15,1.01434481687245e-15,0.501253923662291
6.7263788937684e-17,6.7263788937684e-17,0.50042942593862
7.46144421448077e-18,7.46144421448077e-18,0.49970799042519
-1.21001794405543e-16,-1.21001794405543e-16,0.499089617122001
