,000001.SS,^FTSE,^GSPC,Kilian
88,1555.906005859375,4430.7001953125,1120.6800537109375,84.307166
89,1399.1619873046875,4464.10009765625,1140.8399658203125,62.660053
90,1386.2020263671875,4413.10009765625,1101.719970703125,89.100031
91,1342.06201171875,4459.2998046875,1104.239990234375,99.061644
92,1396.699951171875,4570.7998046875,1114.5799560546875,98.237469
93,1320.5360107421875,4624.2001953125,1130.199951171875,107.05526
94,1340.77099609375,4703.2001953125,1173.8199462890625,122.42069
95,1266.4959716796875,4814.2998046875,1211.9200439453125,126.46634
96,1191.822998046875,4852.2998046875,1181.27001953125,106.31736
97,1306.0030517578125,4968.5,1203.5999755859375,106.73119
98,1181.2359619140625,4894.39990234375,1180.5899658203125,109.7051
99,1159.14599609375,4801.7001953125,1156.8499755859375,106.39047
100,1060.738037109375,4964.0,1191.5,85.429498
101,1080.93798828125,5113.2001953125,1191.3299560546875,56.730528
102,1083.032958984375,5282.2998046875,1234.1800537109375,34.90626
103,1162.7979736328125,5296.89990234375,1220.3299560546875,33.871478
104,1155.614013671875,5477.7001953125,1228.81005859375,56.611644
105,1092.8170166015625,5317.2998046875,1207.010009765625,68.611336
106,1099.260986328125,5423.2001953125,1249.47998046875,61.213637
107,1161.0570068359375,5618.7998046875,1248.2900390625,49.909838
108,1258.0460205078125,5760.2998046875,1280.0799560546875,35.546041
109,1299.030029296875,5791.5,1280.6600341796875,43.400882
110,1298.2950439453125,5964.60009765625,1294.8699951171875,49.565952
111,1440.2230224609375,6023.10009765625,1310.6099853515625,43.939293
112,1641.300048828125,5723.7998046875,1270.0899658203125,42.86968
113,1672.2110595703125,5833.39990234375,1270.199951171875,53.495834
114,1612.7330322265625,5928.2998046875,1276.6600341796875,64.643085
115,1658.637939453125,5906.10009765625,1303.8199462890625,83.333988
116,1752.4239501953125,5960.7998046875,1335.8499755859375,93.110612
117,1837.9930419921875,6129.2001953125,1377.93994140625,93.449008
118,2099.2890625,6048.89990234375,1400.6300048828125,97.508904
119,2675.47412109375,6220.7998046875,1418.300048828125,100.55732
120,2786.3349609375,6203.10009765625,1438.239990234375,103.42235
121,2881.072998046875,6171.5,1406.8199462890625,101.75688
122,3183.98291015625,6308.0,1420.8599853515625,116.66358
123,3841.27197265625,6449.2001953125,1482.3699951171875,128.14581
124,4109.65380859375,6621.5,1530.6199951171875,138.57122
125,3820.702880859375,6607.89990234375,1503.3499755859375,128.14697
126,4471.0322265625,6360.10009765625,1455.27001953125,141.11536
127,5218.8251953125,6303.2998046875,1473.989990234375,150.30769
128,5552.30078125,6466.7998046875,1526.75,167.58597
129,5954.76513671875,6721.60009765625,1549.3800048828125,186.9917
130,4871.77783203125,6432.5,1481.1400146484375,187.50075
131,5261.56298828125,6456.89990234375,1468.3599853515625,180.61924
132,4383.39306640625,5879.7998046875,1378.550048828125,148.64422
133,4348.54296875,5884.2998046875,1330.6300048828125,144.35312
134,3472.712890625,5702.10009765625,1322.699951171875,160.11624
135,3693.10595703125,6087.2998046875,1385.5899658203125,162.79164
136,3433.35400390625,6053.5,1400.3800048828125,189.26037
137,2736.10302734375,5625.89990234375,1280.0,182.70212
138,2775.717041015625,5411.89990234375,1267.3800048828125,168.48668
139,2397.368896484375,5636.60009765625,1282.8299560546875,149.9817
140,2293.783935546875,4902.5,1166.3599853515625,110.31657
141,1728.7860107421875,4377.2998046875,968.75,10.126057
142,1871.156005859375,4288.0,896.239990234375,-67.110442
143,1820.8050537109375,4434.2001953125,903.25,-75.856148
144,1990.656982421875,4149.60009765625,825.8800048828125,-56.218678
145,2082.85205078125,3830.10009765625,735.0900268554688,13.229716
146,2373.212890625,3926.10009765625,797.8699951171875,21.023557
147,2477.569091796875,4243.7001953125,872.8099975585938,4.5183838
148,2632.929931640625,4417.89990234375,919.1400146484375,47.132587
149,2959.362060546875,4249.2001953125,919.3200073242188,87.359526
150,3412.06201171875,4608.39990234375,987.47998046875,74.705722
151,2667.7451171875,4908.89990234375,1020.6199951171875,52.052243
152,2779.426025390625,5133.89990234375,1057.0799560546875,38.741682
153,2995.847900390625,5044.60009765625,1036.18994140625,54.13873
154,3195.301025390625,5190.7001953125,1095.6300048828125,90.099687
155,3277.138916015625,5412.89990234375,1115.0999755859375,80.383137
156,2989.2919921875,5188.5,1073.8699951171875,68.482103
157,3051.943115234375,5354.5,1104.489990234375,51.940641
158,3109.10498046875,5679.60009765625,1169.4300537109375,70.100414
159,2870.611083984375,5553.2998046875,1186.68994140625,64.994545
160,2592.14599609375,5188.39990234375,1089.4100341796875,88.423626
161,2398.3701171875,4916.89990234375,1030.7099609375,66.889075
162,2637.5029296875,5258.0,1101.5999755859375,18.826623
163,2638.798095703125,5225.2001953125,1049.3299560546875,43.008003
164,2655.657958984375,5548.60009765625,1141.199951171875,54.167966
165,2978.8349609375,5675.2001953125,1183.260009765625,53.025888
166,2820.180908203125,5528.2998046875,1180.550048828125,38.073393
167,2808.076904296875,5899.89990234375,1257.6400146484375,24.491893
168,2790.694091796875,5862.89990234375,1286.1199951171875,-12.799751
169,2905.052978515625,5994.0,1327.219970703125,-30.036818
170,2928.111083984375,5908.7998046875,1325.8299560546875,-6.9439037
171,2911.510009765625,6069.89990234375,1363.6099853515625,-17.834038
172,2743.471923828125,5990.0,1345.199951171875,-17.287879
173,2762.075927734375,5945.7001953125,1320.6400146484375,-11.316557
174,2701.72900390625,5815.2001953125,1292.280029296875,-16.251414
175,2567.340087890625,5394.5,1218.8900146484375,-14.842848
176,2359.218994140625,5128.5,1131.4200439453125,13.394698
177,2468.25,5544.2001953125,1253.300048828125,25.369296
178,2333.4140625,5505.39990234375,1246.9599609375,13.198309
179,2199.4169921875,5572.2998046875,1257.5999755859375,15.149714
180,2292.610107421875,5681.60009765625,1312.4100341796875,-43.624189
181,2428.487060546875,5871.5,1365.6800537109375,-82.827941
182,2262.7880859375,5768.5,1408.469970703125,-62.780616
183,2396.31591796875,5737.7998046875,1397.9100341796875,-45.544443
184,2372.23388671875,5320.89990234375,1310.3299560546875,-37.556269
185,2225.429931640625,5571.2001953125,1362.1600341796875,-53.416188
186,2103.635009765625,5635.2998046875,1379.3199462890625,-41.324601
187,2047.52197265625,5711.5,1406.5799560546875,-74.565476
188,2086.1689453125,5742.10009765625,1440.6700439453125,-82.204433
189,2068.8798828125,5782.7001953125,1412.1600341796875,-52.515387
190,1980.116943359375,5866.7998046875,1416.1800537109375,-44.873831
191,2269.1279296875,5897.7998046875,1426.18994140625,-62.714167
192,2385.422119140625,6276.89990234375,1498.1099853515625,-73.220473
193,2365.593017578125,6360.7998046875,1514.6800537109375,-76.979712
194,2236.62109375,6411.7001953125,1569.18994140625,-60.315473
195,2177.912109375,6430.10009765625,1597.5699462890625,-60.180106
196,2300.594970703125,6583.10009765625,1630.739990234375,-62.677245
197,1979.2060546875,6215.5,1606.280029296875,-52.793469
198,1993.7989501953125,6621.10009765625,1685.72998046875,-35.07634
199,2098.382080078125,6412.89990234375,1632.969970703125,-38.317561
200,2174.6650390625,6462.2001953125,1681.550048828125,5.2787745
201,2141.614013671875,6731.39990234375,1756.5400390625,16.77691
202,2220.50390625,6650.60009765625,1805.81005859375,-2.1415968
203,2115.97802734375,6749.10009765625,1848.3599853515625,31.208781
