"China","India","Japan","United.States"
578.101293162477,205.006413706523,439.757163761733,1739.24454139713
576.586154002468,204.334530735753,440.568845236402,1738.55156055952
575.675749690689,203.888568421662,441.184514454393,1737.75386773011
575.370080227143,203.668526764249,441.604171415708,1736.8514629089
575.669145611828,203.674405763514,441.827816120346,1735.8443460959
576.572945844743,203.906205419458,441.855448568307,1734.73251729109
578.081480925891,204.36392573208,441.687068759591,1733.51597649449
580.19475085527,205.04756670138,441.322676694198,1732.19472370609
582.91275563288,205.957128327359,440.762272372128,1730.7687589259
586.235495258721,207.092610610016,440.005855793381,1729.2380821539
590.162969732794,208.454013549352,439.053426957958,1727.60269339011
594.695179055098,210.041337145366,437.904985865858,1725.86259263452
599.832123225634,211.854581398058,436.56053251708,1724.01777988713
